fee_tier,fee_rate,strategy,cum_return,max_drawdown,sharpe_ratio,calmar_ratio,total_trades
13 bps (0.13%),0.0013,System 5 (Full ARMS),-0.1110636847621439,-0.1864224256518121,-0.49261306298536967,-0.14916370189281405,731
13 bps (0.13%),0.0013,MA Crossover (5/20),1.112422736181486,-0.4098248688464278,0.27300334835773005,0.47871025048737165,230
20 bps (0.20%),0.002,System 5 (Full ARMS),-0.19893226955835253,-0.2267187196458903,-0.7361742291724568,-0.22823985261503113,731
20 bps (0.20%),0.002,MA Crossover (5/20),0.9476080837943501,-0.4143536273753749,0.23726196071827388,0.4178454793872985,230
30 bps (0.30%),0.003,System 5 (Full ARMS),-0.30961710977881685,-0.3129703857229719,-1.0697861722496773,-0.27136277374477363,731
30 bps (0.30%),0.003,MA Crossover (5/20),0.7341709316781533,-0.4207644202101318,0.18738990004313033,0.3350252117260133,230
