Trial,Seed,MA_Return,MA_MDD,MA_Sharpe,MA_Calmar,S5_Return,S5_MDD,S5_Sharpe,S5_Calmar,Diff_Return,Diff_Calmar
1,383329927,-0.8367375518766226,-0.9026303403944196,-0.8792352774292881,-0.3895834370790964,-0.011239540169119433,-0.20476057683968665,-0.22538959267149702,-0.013180369048734451,-0.8254980117075031,-0.37640306803036194
2,3324115916,-0.664724163601087,-0.7996055743103263,-0.5917827274911377,-0.2875573611762424,-0.08759162771783147,-0.26851063912460904,-0.39331412835701274,-0.08073537845875187,-0.5771325358832555,-0.20682198271749055
3,2811363264,-0.5073677291316911,-0.7317846051479759,-0.38004539879050375,-0.21279740812354792,-0.13781384021794474,-0.21569393608248982,-0.5502662145440502,-0.16148816030429677,-0.3695538889137464,-0.05130924781925114
4,1884968544,-0.7405756007694917,-0.8596737182778664,-0.6591247028478033,-0.32074605880110757,-0.23939061080086832,-0.3151212969440452,-0.785034908622548,-0.20096726904073045,-0.5011849899686234,-0.11977878976037712
5,1859786275,-0.8701796283978991,-0.9046988459940946,-0.9844474387658533,-0.42690897067281797,-0.257811594355566,-0.3276325050892936,-0.8151557829269711,-0.21000204038718218,-0.6123680340423331,-0.2169069302856358
6,3687649985,-0.366320487800039,-0.6626374211311813,-0.28900089951367514,-0.1559482451374899,-0.30521331476158076,-0.34886582952702594,-0.9783439806257848,-0.23900867151904137,-0.06110717303845825,0.08306042638155148
7,369133708,-0.5028220977019067,-0.7023680589542782,-0.43035328366654707,-0.2190671695566687,-0.10323003136526454,-0.2968350313839135,-0.44944557511997707,-0.08662655928312403,-0.3995920663366421,-0.13244061027354465
8,2995172877,1.0903806663912472,-0.3129721582163893,0.15624884369893421,0.615983555285936,-0.18619050698446582,-0.2351802789494604,-0.6646350465556876,-0.20437827272554088,1.276571173375713,0.8203618280114768
9,865305066,-0.7912188307891506,-0.82337379407458,-0.7404428723014559,-0.37939592752214923,-0.28059344445477763,-0.3633684992981648,-0.8850698880667852,-0.20838017316580773,-0.5106253863343729,-0.1710157543563415
10,404488628,-0.8364102868932919,-0.9013803237983528,-0.8611046901458241,-0.3897792398190903,-0.26434796661256166,-0.32146457260817046,-0.8868966682960876,-0.2201513386365256,-0.5720623202807302,-0.16962790118256468
11,2261209995,-0.8492076647574605,-0.8906206228190855,-0.8988015682516324,-0.4085356079194673,0.008690382836275434,-0.22453834432404743,-0.17924475654008576,0.009223108963413088,-0.8578980475937359,-0.4177587168828804
12,4190266092,-0.851974397420828,-0.8590790071004045,-0.8935544407790221,-0.42680660267559684,-0.19271817783831335,-0.28193793208609125,-0.6690066634224918,-0.17697839617699376,-0.6592562195825147,-0.24982820649860307
13,3160032368,-0.6360934483502009,-0.7798076910353001,-0.5394269991337584,-0.27532004835808727,-0.1827249806360347,-0.335787116964519,-0.5963356560592893,-0.1402618006244756,-0.45336846771416617,-0.13505824773361166
14,3269070126,-0.6292817395016879,-0.7669849409033227,-0.3506465537253199,-0.2753730051093533,-0.06734236455261045,-0.23841503265660388,-0.38080380510541695,-0.06933476818532613,-0.5619393749490774,-0.20603823692402717
15,3081541439,-0.7522149202457282,-0.8498902472724555,-0.6784121131487973,-0.3337399374876139,-0.3269794450781547,-0.3711566758407798,-1.0455922810262488,-0.24337678782859243,-0.42523547516757354,-0.09036314965902145
16,3376120482,-0.6986125439749713,-0.8418682686153797,-0.6236906266531197,-0.29613109997064374,-0.20868843471234433,-0.3136423908475569,-0.6752323629294174,-0.1735255921424044,-0.48992410926262697,-0.12260550782823934
17,2204291346,1.1175328633375647,-0.4545504350334509,0.15945548088798953,0.43223322301089706,-0.01785332835255904,-0.2937768300188808,-0.22200506344507365,-0.014629604838770786,1.1353861916901238,0.44686282784966785
18,550243861,-0.5735454619207838,-0.7580110247031966,-0.31343919069649256,-0.2431954911649836,-0.329570248613397,-0.36128459684622355,-1.0901178461763175,-0.25234784001942884,-0.2439752133073868,0.009152348854445241
19,3606691181,-0.426313570594714,-0.6600983860826045,-0.3160592735968726,-0.18846912954748074,-0.18439268450215252,-0.2696311332037717,-0.7074848503308304,-0.17640161088329634,-0.24192088609256146,-0.012067518664184401
20,1934392872,-0.5962800310703061,-0.7449658277720203,-0.48325418895474664,-0.26170182552642995,-0.24923133754466786,-0.34675790056986516,-0.8160978528544618,-0.19102914287433675,-0.3470486935256383,-0.0706726826520932
21,2148995112,-0.7370469165683762,-0.8534885658181044,-0.6678572968038411,-0.32032495261900196,-0.2680282904438812,-0.3148286523717548,-0.864280375787448,-0.22832878646866334,-0.46901862612449496,-0.09199616615033862
22,1592565386,-0.8571465738581593,-0.870786927413837,-0.9428752694337477,-0.42722661018212166,-0.27990234889096643,-0.319667800831741,-0.9154289338168523,-0.2362032679532917,-0.5772442249671929,-0.19102334222882997
23,784044718,-0.29763875729801703,-0.6661348803930665,-0.1521061986440125,-0.12160089323200118,-0.30017615247731955,-0.3449973321425619,-0.9701473608405312,-0.2370959574888206,0.002537395179302515,0.11549506425681941
24,3980425317,-0.28787733441811836,-0.5796665891150526,-0.21074169254067995,-0.13449957456195016,-0.3231099480423476,-0.3585330232854733,-1.1069709132374097,-0.24846577736186634,0.03523261362422925,0.11396620279991618
25,3356806661,-0.6504244904440523,-0.7768709226367849,-0.5609299629214667,-0.2860246150950109,-0.2837716143313955,-0.3149270982009412,-0.893103284022507,-0.24353794654023428,-0.36665287611265673,-0.042486668554776647
26,2765379632,-0.6636997616477542,-0.7765476758945847,-0.5910317906517003,-0.295372176497608,-0.20771000756573021,-0.34606810814412,-0.6659444628946606,-0.15645931036832597,-0.455989754082024,-0.13891286612928203
27,1728356533,-0.6956528603673833,-0.7715183562410605,-0.6631255600854512,-0.32085738398643426,-0.08955370822665387,-0.28450643846600104,-0.4043917937536544,-0.07796562220791474,-0.6060991521407294,-0.2428917617785195
28,3533734220,-0.8111818222161228,-0.8514592676514465,-0.774813651618409,-0.3860553716748275,-0.08465365381381129,-0.23527179215783287,-0.3975355387914748,-0.08894413661241499,-0.7265281684023115,-0.29711123506241255
29,2342600226,-0.6306793702530951,-0.6542552062864685,-0.3601150238357792,-0.32390873036414086,-0.16321326798854696,-0.29155470845973214,-0.60849036087439,-0.14305248568885448,-0.4674661022645481,-0.18085624467528638
30,1904449481,-0.7662890465502474,-0.8521119343806601,-0.7346292030804477,-0.34454173195404697,0.09131817455612534,-0.16004608824027972,0.010861213006565321,0.13191767850598804,-0.8576072211063728,-0.47645941046003504
