atr_multiplier,multiplier_val,cum_return,max_drawdown,sharpe_ratio,calmar_ratio,total_trades
1.5x,1.5,-0.46987560915480975,-0.6955740895941384,-0.5013644168755993,-0.2027578424209027,29
2.0x,2.0,-0.4393060864889915,-0.6323387175110484,-0.4805513806681492,-0.20466826341927366,20
2.5x,2.5,-0.32549114338121365,-0.4901076155277513,-0.34499048941383526,-0.18366018583213073,15
