Mode,Universe_Size,Start_Date,End_Date,Total_Return,Annualized_Return,Annualized_Vol,Sharpe_Ratio,Max_Drawdown
Compounding (复利),49,2019-01-01,2023-12-31,0.03%,0.01%,6.63%,-0.3006,-16.82%
Non-compounding (非复利/锁定利润),49,2019-01-01,2023-12-31,1.61%,0.33%,5.90%,-0.2825,-14.24%
