bin_index,mean_predicted_prob,fraction_of_positives
1,0.09230120719764119,0.7142857142857143
2,0.16716662258437434,0.3725
3,0.26027767067197494,0.3585594989561587
4,0.3567092075105809,0.3525326797385621
5,0.451372512786045,0.35696375655345336
6,0.5452930524839213,0.35281719825769287
7,0.6419692128711584,0.3755193352508789
8,0.7366614036566989,0.3827433628318584
9,0.8322068383714868,0.4032258064516129
10,0.9194375639130102,0.0
