rank,feature,mean_abs_shap
1,多空线偏离,0.029659379645544007
2,趋势线偏离,0.02323146323900741
3,振幅,0.019471456301525858
4,RSI_14,0.014886824301200996
5,MA60_偏离,0.014755486571797665
6,KDJ_J,0.013978292358144835
7,MA均线交叉,0.01384114685349527
8,BBI偏离,0.012840252165704858
9,MA5_偏离,0.012583314528923568
10,MA10_偏离,0.011088348288982185
11,成交量变化,0.010298327309785983
12,Volatility,0.0092724038185248
13,收益率_lag3,0.008376122852938423
14,收益率_lag2,0.007139834951649801
15,收益率_lag1,0.006623797997172649
16,EMA13_偏离,0.0
