seed_group,seed,sys5_return,sys5_mdd,sys5_sharpe,sys5_calmar,ma_return,ma_mdd,ma_sharpe,ma_calmar,delta_calmar
Group_0 (Seed_100),100,-0.10300010142361093,-0.26024347513591095,-0.6320674895535671,-0.11869664953812722,-0.5806444396744944,-0.8199508350641346,-0.6010092704045613,-0.27058381002158,0.15188716048345277
Seed_1,1,-0.06332653060330129,-0.21608575840240915,-0.418331647457395,-0.08657252377594188,-0.8507062430075141,-0.8871559099902302,-1.1425749538014138,-0.47620044351819296,0.3896279197422511
Seed_2,2,0.009880537400252853,-0.19847544863774935,-0.1989551219818544,0.014319892424689482,-0.6534850662133783,-0.8207496444939154,-0.7294852030037565,-0.32112340913313997,0.3354433015578295
Seed_3,3,-0.11191788865092789,-0.23263174103117806,-0.694701082601953,-0.14478276486114786,-0.7876431215351445,-0.7971495256127985,-0.949141460508882,-0.45240156221737415,0.3076187973562263
Seed_4,4,-0.28324376601562706,-0.34052650146667707,-1.1891149612685947,-0.26915224144947597,-0.8671001506978313,-0.8931463021953236,-1.1288373205993876,-0.4943579468684765,0.22520570541900053
Seed_5,5,-0.22545319820006993,-0.3375653137717912,-0.9956295892462631,-0.21060335543703035,-0.6340244057700617,-0.6884104985299132,-0.673782795353328,-0.36584902056690577,0.15524566512987542
Seed_6,6,-0.08119369472252369,-0.24262671681218148,-0.5328962666313156,-0.09952476877508652,-0.6274363899984963,-0.7178258543942322,-0.6825430698947781,-0.3454757189328914,0.24595095015780488
Seed_7,7,-0.10235678806060766,-0.22320643163289283,-0.6182832148830274,-0.13749358573603698,-0.43739169310317216,-0.5656524830951851,-0.43320278298270815,-0.27044566606876164,0.13295208033272465
Seed_8,8,-0.06396480769007651,-0.1964606565413284,-0.4820134596318467,-0.09620327156485206,-0.5865056530303678,-0.6654317098932756,-0.5899489816803405,-0.338157238031771,0.24195396646691894
Seed_9,9,-0.051050144453863466,-0.28319118078150857,-0.3793060636685729,-0.053009278715105856,-0.49906246571559865,-0.7765401002312408,-0.49961370095594154,-0.2329499514286113,0.17994067271350545
