period,sample_count,roc_auc,pr_auc,brier_score
Overall (2019-2023),27269,0.5069483373903116,0.36617226705811107,0.25747784348435615
Year 2021,6699,0.5221825701437925,0.4112139036231269,0.2581501173920225
Year 2022,10379,0.4944336875107191,0.36018182515579683,0.2634669652444285
Year 2023,10191,0.4993232231368555,0.3374890564059314,0.2509363208020632
