Mode,Universe_Size,Start_Date,End_Date,Total_Return,Annualized_Return,Annualized_Vol,Sharpe_Ratio,Max_Drawdown
New Compounding (新复利),48,2019-01-01,2023-12-31,5.29%,1.08%,3.38%,-0.2725,-7.33%
New Non-compounding (新非复利/锁定利润),48,2019-01-01,2023-12-31,5.18%,1.06%,3.23%,-0.2922,-7.00%
