Mode,Universe_Size,Start_Date,End_Date,Total_Return,Annualized_Return,Annualized_Vol,Sharpe_Ratio,Max_Drawdown
Compounding (复利),49,2019-01-01,2023-12-31,4.36%,0.89%,3.27%,-0.3393,-6.50%
Non-compounding (非复利/锁定利润),49,2019-01-01,2023-12-31,4.29%,0.88%,3.09%,-0.3635,-6.13%
