Date,"System 0-A
(纯规则 S4)","System 1
(纯ML)","System 4
(ML+ATR+BBL+TOCE)","System 5
(完整ARMS)","MA均线交叉
(5/20)",B&H
2019-09-20,993200.3466254714,1030953.8749227845,1021126.1950796662,1030875.146342069,1014403.3419368851,1028286.4944500041
2019-09-23,991269.0701532712,1025542.3235398432,1010787.7316555543,1020769.6366926498,1005053.3052317388,1017569.1976483938
2019-09-24,997516.6417545979,1034085.5055926145,1023482.6283748458,1024648.7093059558,1024331.9618443296,1022532.2112763341
2019-09-25,973562.1320892716,1024853.1877363244,1018902.7439473013,1019566.1314549131,998381.5252323244,1010070.5349455281
2019-09-26,953217.0759140218,1024958.7163329507,1006594.0129204212,1016987.9766318881,972793.1455633142,990391.7597948688
2019-09-27,958271.6117145391,1025048.6795784271,1007173.6008042906,1017351.5430418539,980340.6925625422,996073.7334950643
2019-09-30,947037.1061293373,1023239.3177657316,998930.6241729328,1015641.0327867528,982281.0978011402,987292.2372737064
2019-10-08,958966.9761737436,1026310.3736864848,996778.8114609254,1016475.3264655322,981411.6230364201,988213.6837358966
2019-10-09,954814.8321504127,1026571.9961214148,991509.2104728882,1014021.9727984037,952619.1632502219,990164.8473627976
2019-10-10,963936.7663036494,1034100.72949752,1002386.7168345434,1029622.1537194788,963267.5881547004,999890.6699469959
2019-10-11,965563.0755917098,1033117.6691040734,1001787.0214369193,1029471.5701050544,953004.1245472482,1001520.0994697738
2019-10-14,971968.4107814453,1033738.4528630265,1002444.4005142913,1030998.5488737202,953688.6317234179,1012621.2149707908
2019-10-15,982753.9842386193,1039210.1283714292,1009153.1575175811,1031999.9170365924,961490.9939884003,1005082.5276061591
2019-10-16,981791.2473251064,1040529.9966971768,998951.6919732541,1020412.3456322302,960062.781383999,998537.5547532552
2019-10-17,976190.6308522677,1041452.7329181238,1001767.2916118824,1022162.3608680563,956243.3111380608,998991.1434313612
2019-10-18,961627.4005794716,1035209.7636029429,995745.6060817962,1018695.6821672617,955350.850513646,988017.0918403086
2019-10-21,952390.5999916442,1029377.5653244694,992757.028587571,1016705.1971711233,943876.9466556156,985820.7211585337
2019-10-22,946018.52789267,1035698.4492738391,997508.669203673,1019687.3724721451,943581.4666507372,992997.8640033965
2019-10-23,954887.252992301,1038108.356559017,995518.4072478886,1017436.7464903699,953166.8801764452,990307.9733306629
2019-10-24,949393.5756712153,1037232.7323050031,996740.4985313943,1016415.6755140541,956278.9251936165,990728.5048935515
2019-10-25,969225.1351937404,1038265.991757331,1003060.1118750903,1023707.643065575,987248.309332048,997816.1813271779
2019-10-28,998651.9810851992,1045436.0235750185,1005157.9728700676,1025511.6390906264,992067.7190701098,1010515.2617468288
2019-10-29,1002718.253841929,1049580.6169860167,1006622.2871194779,1025903.6486662993,985897.4363354166,1001428.8458215374
2019-10-30,991590.1086527957,1046748.7135792731,1005161.8215090999,1027676.2909852823,985922.8198812462,995714.8309211433
2019-10-31,991563.1215511437,1053775.1715200054,1013682.2182819156,1028163.1160365075,988413.3600052288,991500.9615503876
2019-11-01,1010635.9692545983,1069917.01080629,1030996.4972072404,1030142.1321088421,987920.1792922164,1002039.2565251506
2019-11-04,1015066.7178214636,1072436.3297831006,1032919.6473929086,1030881.4344348632,992647.65917877,1009353.6343414052
2019-11-05,1013477.2776086349,1069741.9525409054,1030207.1548539994,1030606.6788263527,1001598.4047415429,1012076.1888036443
2019-11-06,997349.41084268,1068271.1499405536,1021995.3028761982,1027265.8577868959,984658.6151804024,1004832.4247565464
